sample_idx,condition,attack_type,deletion_auc,insertion_auc,score,ecs,ecs_nr_proxy,stability,spectral_alignment,faithfulness_preservation
28,C9_opus6,bonafide,0.5586865164007057,0.522840205781731,1.0,0.27053223965061757,0.17007499888539315,0.16323749721050262,0.0746311604976654,0.6094929753903897
28,N1_awgn20,bonafide,0.5391048161607926,0.5346122733450839,1.0,0.7994329425211191,0.5097691863775253,0.8637587428092957,0.5137401223182678,0.9993580290064017
28,N2_awgn10,bonafide,0.5443356558058464,0.5469184640683609,1.0,0.7906040053267283,0.47590852677822115,0.835093080997467,0.526478111743927,0.9954111313485445
29,C0_clean,bonafide,0.5361913254213609,0.5371772149836521,1.0,0.8595381763174619,0.4274281352758408,1.0,0.546700656414032,0.9850932646441743
29,C8_opus16,bonafide,0.543224099124956,0.5244699134016791,1.0,0.7961163701638843,0.4381659954786301,0.9087343811988831,0.44994935393333435,0.9921260383477694
29,C9_opus6,bonafide,0.5521108900452353,0.5265604891231296,1.0,0.25049908538602367,0.16989145517349244,0.16837634146213531,0.07695596516132354,0.5335391975092416
29,N1_awgn20,bonafide,0.5368936752191443,0.5337920632430327,1.0,0.7857900790335913,0.4640081584453583,0.8525621891021729,0.49675506353378296,0.9857956144419577
29,N2_awgn10,bonafide,0.5388646135095788,0.5349105419428524,1.0,0.783725472916962,0.4519844919443131,0.8416659832000732,0.5024303793907166,0.9877665527323922
30,C0_clean,bonafide,0.5441784605603257,0.534351465726712,1.0,0.840205740838126,0.4274281352758408,1.0,0.471205472946167,0.9961469965142534
30,C8_opus16,bonafide,0.5490331554793119,0.5258164651233412,1.0,0.8211558116637323,0.4381659954786301,0.9087343811988831,0.5265418887138367,0.9989983085667604
30,C9_opus6,bonafide,0.5574228822784849,0.5238727337391952,1.0,0.2750812093166769,0.17060609102249144,0.17128820717334747,0.06903132498264312,0.61952176317515
30,N1_awgn20,bonafide,0.5426875493639722,0.5372818433402647,1.0,0.8063806293444544,0.48900206387043,0.8356598019599915,0.579066276550293,0.9946560853179
